								
					Pilih Cluster>>		 -   	
Brand	Sub Brand AS	Brand Group AS	Description	Barcode (Pieces)	Harga PTT/Sebelum PPN	Kuantiti per Karton/Dus	Harga PPN	Harga Jual ke Konsumen yg Disarankan
								
Nivea	Nivea Sun	Sun	NIVEA SUN Extra Protect Daily Moist Essence Serum SPF50 180ml	8999777018801	 95.841 	12	 106.384 	 125.000 
Nivea	Nivea Sun	Sun	NIVEA SUN Extra Protect Aura Sun Face Serum SPF50+ PA+++ 7ml	42397793	 12.924 	72	 14.346 	 18.000 
Nivea	Nivea Sun	Sun	NIVEA SUN Extra Protect Oil Control Sun Face Serum SPF50+ PA+++ 7ml	42417507	 12.924 	72	 14.346 	 18.000 
Nivea	Nivea Sun	Sun	NIVEA SUN Protect & White Instant Aura SPF50+ PA+++ Face Serum 30ml	8999777015268	 50.580 	14	 56.144 	 70.200 
Nivea	Nivea Sun	Sun	NIVEA SUN Protect & White Oil Control SPF50+ PA+++ Face Serum 30ml	8999777014230	 50.580 	14	 56.144 	 70.200 
Nivea	Nivea Sun	Sun	NIVEA SUN Triple Protect Hokkaido Rose SPF50+ PA+++ Face Serum 40ml	8999777017644	 73.300 	12	 81.363 	 100.800 
Nivea	Nivea Sun	Sun	NIVEA SUN Extra Protect C & E Vitamin Sun Care SPF50 PA+++ 30ml	8999777000837	 48.440 	12	 53.768 	 60.600 
Nivea	Nivea Sun	Sun	NIVEA SUN Triple Protect Acne Oil Control SPF50+ PA+++ 40ml	8999777002527	 72.650 	12	 80.642 	 90.900 
Nivea	Nivea Sun	Sun	NIVEA SUN Triple Protect Anti Wrinkle SPF50+ PA+++ 40ml	8999777003241	 72.650 	12	 80.642 	 90.900 
Nivea	Nivea Sun	Sun	NIVEA SUN Body Sun Serum Triple Protect Extra Radiance & Smooth SPF50 PA+++ 180ml	8999777017880	 88.800 	12	 98.568 	 110.000 
Nivea	Nivea Sun	Sun	NIVEA SUN Protect & Bronze SPF20 Lotion 200ml	4005808432394	 179.650 	12	 199.412 	 230.000 
Nivea	Nivea Sun	Sun	NIVEA SUN Protect & Moisture SPF30 Lotion 75ml	4005808516261	 110.000 	48	 122.100 	 150.000 
Nivea	Nivea Sun	Sun	NIVEA SUN Protect & Moisture SPF30 Lotion 100ml	8999777857837	 110.000 	48	 122.100 	 140.550 
Nivea	Nivea Sun	Sun	NIVEA SUN Protect & Moisture SPF50 Lotion 75ml	8850029040363	 152.300 	48	 169.053 	 210.000 
Nivea	Nivea Sun	Sun	NIVEA SUN Protect & Moisture SPF50 Lotion 100ml	8999777857844	 152.300 	48	 169.053 	 189.750 
Nivea	Nivea Sun	Sun	NIVEA SUN Protect & Moisture SPF50+ Lotion 200ml	4005808430208	 227.670 	12	 252.714 	 291.000 
Nivea	Nivea Sun	Sun	NIVEA SUN Protect & Refresh SPF50 Aerosol 200ml	4005808260706	 193.330 	12	 214.596 	 282.300 
Nivea	Nivea Sun	Sun	NIVEA SUN Moisturising After Sun Spray 200ml	4005808804344	 168.700 	12	 187.257 	 215.000 
Nivea	Nivea Sun	Sun	NIVEA SUN Kids Ultra Sensistive SPF50+ Spray 200ml	4005808856671	 215.950 	12	 239.705 	 212.000 
Nivea	NLC Lip Care	Lip Care	NIVEA Lip Balm Original Essential 4.8g	8999777850616	 25.780 	24	 28.616 	 34.000 
Nivea	NLC Lip Care	Lip Care	NIVEA Lip Balm Strawberry Shine 4.8g	8999777850838	 25.770 	24	 28.605 	 34.000 
